onset	duration	trial_type	response_time	correct	left_number	right_number	verification
6.483	4.5	Plus1	2252	1	9	1	12
11.983	4.5	Plus1	2032	1	7	1	9
18.366	4.5	Plus1	1688	1	7	1	8
24.483	4.5	Plus1	1788	1	3	1	4
30.483	4.5	Plus1	1628	1	8	1	9
35.983	4.5	Plus1	1544	1	6	1	7
54.483	4.5	Plus1	1580	1	4	1	5
60.483	4.5	Plus1	1348	1	3	1	5
65.983	4.5	Plus1	1368	1	2	1	3
72.483	4.5	Plus1	2396	0	5	1	8
77.983	4.5	Plus1	1808	1	4	1	6
83.983	4.5	Plus1	2712	1	8	1	11
96.483	4.5	SmallProblem	2532	0	7	3	12
102.483	4.5	SmallProblem	2068	1	3	6	9
108.983	4.5	SmallProblem	2224	0	4	5	10
114.483	4.5	SmallProblem	2452	1	3	4	9
120.483	4.5	SmallProblem	2620	1	6	2	8
126.983	4.5	SmallProblem	2600	0	2	5	8
138.483	4.5	LargeProblem	2492	1	2	9	11
144.983	4.5	LargeProblem	0	0	5	6	13
150.983	4.5	LargeProblem	1736	1	7	4	11
156.483	4.5	LargeProblem	2892	0	4	8	12
162.983	4.5	LargeProblem	1392	0	8	3	13
168.483	4.5	LargeProblem	2612	1	7	5	12
186.483	4.5	LargeProblem	1628	0	3	9	13
191.983	4.5	LargeProblem	2088	1	8	6	14
197.983	4.5	LargeProblem	2272	1	5	8	13
204.484	4.5	LargeProblem	2643	1	9	4	14
210.484	4.5	LargeProblem	1459	0	6	7	14
215.967	4.5	LargeProblem	2824	0	9	5	16
228.484	4.5	SmallProblem	2619	1	5	3	8
233.984	4.5	SmallProblem	3271	1	2	7	9
240.484	4.5	SmallProblem	3291	0	8	2	11
246.484	4.5	SmallProblem	915	0	6	4	10
251.967	4.5	SmallProblem	4152	1	2	3	5
257.984	4.5	SmallProblem	2951	0	4	2	8
