onset	duration	trial_type	response_time	correct	left_number	right_number	verification
6.466	4.5	Plus1	1746	1	7	1	8
12.983	4.5	Plus1	1925	1	6	1	7
18.983	4.5	Plus1	2309	1	3	1	4
24.483	4.5	Plus1	2249	1	8	1	11
30.983	4.5	Plus1	2349	1	9	1	12
36.983	4.5	Plus1	2125	1	5	1	8
54.483	4.5	Plus1	1969	1	4	1	5
60.483	4.5	Plus1	2137	1	7	1	9
66.983	4.5	Plus1	1645	1	8	1	9
72.483	4.5	Plus1	2009	1	2	1	3
78.983	4.5	Plus1	2133	1	4	1	6
84.983	4.5	Plus1	2101	1	3	1	5
96.483	4.5	SmallProblem	1617	1	5	3	8
102.983	4.5	SmallProblem	2037	1	8	2	11
108.483	4.5	SmallProblem	2825	1	2	5	8
114.483	4.5	SmallProblem	2745	1	6	2	8
119.983	4.5	SmallProblem	2597	1	4	5	10
126.483	4.5	SmallProblem	2121	1	3	4	9
144.483	4.5	LargeProblem	3329	1	2	9	11
150.983	4.5	LargeProblem	2789	1	7	4	11
156.483	4.5	LargeProblem	2961	1	8	3	13
162.483	4.5	LargeProblem	2841	1	9	4	14
167.983	4.5	LargeProblem	4917	0	9	5	16
174.467	4.5	LargeProblem	4521	1	8	6	14
186.483	4.5	LargeProblem	3785	0	6	7	14
191.983	4.5	LargeProblem	3661	1	4	8	12
198.483	4.5	LargeProblem	3169	0	5	8	13
204.483	4.5	LargeProblem	3033	1	5	6	13
210.983	4.5	LargeProblem	2653	1	3	9	13
216.483	4.5	LargeProblem	3329	1	7	5	12
234.483	4.5	SmallProblem	3297	1	7	3	12
239.983	4.5	SmallProblem	2773	1	2	7	9
245.983	4.5	SmallProblem	2501	1	3	6	9
252.483	4.5	SmallProblem	2385	1	6	4	10
257.983	4.5	SmallProblem	2277	1	4	2	8
264.483	4.5	SmallProblem	2105	1	2	3	5
